X,Y,OBJECTID,PROPERTY_UNIT_ID,STREET,UPDATE_DATE,X_COORD,Y_COORD,UNIT_TYPE,STATUS,ROADSEGMENTID,CIVIC_NO,UNIT,LATITUDE,LONGITUDE,PARCELID,WARD,POLL,ROLL_REFERENCE,GlobalID
-80.49609181,43.4643585,876031,2023548,MARGARET AVE,2023/11/25 08:40:19+00,540762.4101,4812505.483,VERTICAL UNIT,ACTIVE,11190,305,1004,,,50062147,10,10,301201000825127,335a98af-944d-43cc-9661-5ef292e05435
-80.49264234,43.45322662,876051,4023048,COLLEGE ST,2023/11/25 08:40:24+00,541048.9744,4811270.899,VERTICAL UNIT,ACTIVE,6664,54,A,,,50000108,10,20,301202000310600,601a4bc2-fb15-42b7-a99a-8801a4338404
-80.46900832,43.44414955,876101,40249920,OTTAWA ST N,2023/11/25 08:42:18+00,542967.5548,4810274.741,VERTICAL UNIT,ACTIVE,9217,120,113,,,50025476,10,35,301203001007200,419d93aa-16fc-4e17-bd0c-91cce2e18303
-80.47898983,43.45441122,876110,2041931,SAMUEL ST,2023/11/25 08:40:36+00,542152.7335,4811409.275,VERTICAL UNIT,ACTIVE,6836,18,5,,,50027128,10,25,301203000705900,08c67c0b-3e15-4960-bd85-be135f6a0d01
-80.48315767,43.44852323,876137,40255520,DUKE ST E,2023/11/25 08:42:34+00,541819.59,4810753.27,VERTICAL UNIT,ACTIVE,11316,165,102,,,55087568,10,20,301203000104802,8094c025-616b-4c5c-9192-7368d92aef4b
-80.51138208,43.45783428,876175,2056830,PINE ST,2023/11/25 08:41:19+00,539529.8,4811773.55,VERTICAL UNIT,ACTIVE,607089,18,302,,,50000046,10,10,301201000107600,e069e167-e254-4b28-964d-90a089423880
-80.50916386,43.4566959,876186,2053358,KING ST W,2023/11/25 08:40:16+00,539710,4811648.18,VERTICAL UNIT,ACTIVE,11061,824,209,,,50002022,10,10,301201000103100,d1eb692e-defb-49b2-a3eb-3cd23ed51c02
-80.49653741,43.46057224,876200,4015583,BLUCHER ST,2023/11/25 08:42:12+00,540728.9066,4812084.772,VERTICAL UNIT,ACTIVE,11201,71,E,,,50002852,10,15,301201000609500,4c57d3b8-4ebd-4158-8e71-890f89df9d2b
-80.50007763,43.4625564,876203,2037085,RAITAR AVE,2023/11/25 08:41:43+00,540441.19,4812303.403,VERTICAL UNIT,ACTIVE,1570,17,8,,,50002229,10,10,301201000615700,5486b82f-f7c1-4d68-b03f-d4f56ebc507e
-80.49609181,43.4643585,876206,2016802,MARGARET AVE,2023/11/25 08:40:51+00,540762.4101,4812505.483,VERTICAL UNIT,ACTIVE,11190,305,615,,,50062147,10,10,301201000825080,fb17eaf3-5f03-4834-91b2-1dca79ff4730
-80.51190032,43.4588144,876221,2048519,HERBERT ST,2023/11/25 08:40:36+00,539487.236,4811882.154,VERTICAL UNIT,ACTIVE,40038,35,3,,,50000031,10,10,301201000112000,045514e6-3553-42fe-88e9-01cc3652e74b
-80.49745214,43.45284859,876223,40258950,KING ST W,2023/11/25 08:42:37+00,540660.082,4811226.557,VERTICAL UNIT,ACTIVE,5901,410,504,,,55088788,10,20,301202000101684,4aa86be4-9447-4b30-bc50-a30971b0b1fe
-80.48587311,43.47022451,876224,3058156,BOND ST,2023/11/25 08:41:18+00,541585,4813162,VERTICAL UNIT,ACTIVE,10382,65,1,,,50004381,10,5,301201001322100,bfcaf9eb-ad10-414e-8c98-53fbc072048c
-80.48968669,43.45799911,876255,2000569,MARGARET AVE,2023/11/25 08:41:44+00,541284.86,4811802.38,VERTICAL UNIT,ACTIVE,6686,100,6,,,50001316,10,15,301201000806600,797a1e80-8460-4e56-87be-27d23ca09895
